timestep,min_pres,x,y,z
391,-184325.0,-0.0384375,0.276562,
392,-197495.0,-0.0271875,0.274687,
393,-212669.0,-0.0140625,0.270937,
394,-220931.0,-0.0028125,0.267187,
395,-231154.0,0.0084375,0.265312,
396,-241638.0,0.0196875,0.263437,
397,-255545.0,0.0328125,0.257812,
398,-268707.0,0.0440625,0.250312,
399,-281868.0,0.0515625,0.244687,
400,-284565.0,0.0628125,0.237187,
